step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,1472794423730735,5.518523392,6.016729088,5.81310976
0,0,fwd_post,1472795843290854,5.70757632,8.675917824,7.125470208
0,1,fwd_pre,1472795843707278,5.70757632,8.675917824,7.125470208
0,1,fwd_post,1472795858008056,5.7494784,9.005170688,7.167331328
0,2,fwd_pre,1472795858366131,5.7494784,9.005170688,7.167331328
0,2,fwd_post,1472795872316355,5.79138048,9.005170688,7.209356288
0,3,fwd_pre,1472795872646994,5.79138048,9.005170688,7.209356288
0,3,fwd_post,1472795886623048,5.83328256,9.005170688,7.251135488
0,4,fwd_pre,1472795886929444,5.83328256,9.005170688,7.251135488
0,4,fwd_post,1472795900954767,5.87518464,9.005170688,7.293037568
0,5,fwd_pre,1472795901271422,5.87518464,9.005170688,7.293037568
0,5,fwd_post,1472795915414903,5.91708672,9.005170688,7.335185408
0,6,fwd_pre,1472795915719014,5.91708672,9.005170688,7.335185408
0,6,fwd_post,1472795929772070,5.9589888,9.005170688,7.376964608
0,7,fwd_pre,1472795930102624,5.9589888,9.005170688,7.376964608
0,7,fwd_post,1472795944087795,6.0009728,9.005170688,7.418743808
0,8,fwd_pre,1472795944395050,6.0009728,9.005170688,7.418743808
0,8,fwd_post,1472795958321566,6.04287488,9.005170688,7.460973568
0,9,fwd_pre,1472795958671818,6.04287488,9.005170688,7.460973568
0,9,fwd_post,1472795974710711,6.08477696,9.005170688,7.502875648
0,10,fwd_pre,1472795975031530,6.08477696,9.005170688,7.502875648
0,10,fwd_post,1472795989076895,6.12667904,9.005170688,7.544654848
0,11,fwd_pre,1472795989408193,6.12667904,9.005170688,7.544654848
0,11,fwd_post,1472796003461901,6.168704,9.005170688,7.586434048
0,12,fwd_pre,1472796003760831,6.168704,9.005170688,7.586434048
0,12,fwd_post,1472796018015716,6.21060608,9.005170688,7.628704768
0,13,fwd_pre,1472796018316516,6.21060608,9.005170688,7.628704768
0,13,fwd_post,1472796032519862,6.25250816,9.005170688,7.670443008
0,14,fwd_pre,1472796032824674,6.25250816,9.005170688,7.670443008
0,14,fwd_post,1472796046912562,6.29441024,9.005170688,7.712222208
0,15,fwd_pre,1472796047221320,6.29441024,9.005170688,7.712222208
0,15,fwd_post,1472796061292000,6.33639424,9.005170688,7.754247168
0,16,fwd_pre,1472796080617346,6.33639424,9.005170688,6.33639424
0,16,fwd_post,1472796093635010,6.37837824,9.005170688,7.796272128
0,17,fwd_pre,1472796093960793,6.37837824,9.005170688,7.796272128
0,17,fwd_post,1472796107998097,6.42028032,9.005170688,7.837928448
0,18,fwd_pre,1472796108309175,6.42028032,9.005170688,7.837928448
0,18,fwd_post,1472796122389855,6.4621824,9.005170688,7.879994368
0,19,fwd_pre,1472796122693350,6.4621824,9.005170688,7.879994368
0,19,fwd_post,1472796136754525,6.5041664,9.005170688,7.921814528
0,20,fwd_pre,1472796137070676,6.5041664,9.005170688,7.921814528
0,20,fwd_post,1472796151123296,6.54619136,9.005170688,7.963839488
0,21,fwd_pre,1472796151425380,6.54619136,9.005170688,7.963839488
0,21,fwd_post,1472796165751409,6.58809344,9.172942848,8.005659648
0,22,fwd_pre,1472796166068675,6.58809344,9.172942848,8.005659648
0,22,fwd_post,1472796180147138,6.62999552,9.172942848,8.047766528
0,23,fwd_pre,1472796180449267,6.62999552,9.172942848,8.047766528
0,23,fwd_post,1472796194409598,6.6718976,9.172942848,8.089668608
0,24,fwd_pre,1472796194739558,6.6718976,9.172942848,8.089668608
0,24,fwd_post,1472796209296464,6.71392256,9.172942848,8.131570688
0,25,fwd_pre,1472796209607827,6.71392256,9.172942848,8.131570688
0,25,fwd_post,1472796223818757,6.75582464,9.340715008,8.173595648
0,26,fwd_pre,1472796224116491,6.75582464,9.340715008,8.173595648
0,26,fwd_post,1472796238194045,6.79772672,9.340715008,8.215620608
0,27,fwd_pre,1472796238493539,6.79772672,9.340715008,8.215620608
0,27,fwd_post,1472796252615275,6.8396288,9.340715008,8.257522688
0,28,fwd_pre,1472796252908395,6.8396288,9.340715008,8.257522688
0,28,fwd_post,1472796267096479,6.88153088,9.340715008,8.299465728
0,29,fwd_pre,1472796267392966,6.88153088,9.340715008,8.299465728
0,29,fwd_post,1472796281623734,6.92355584,9.508487168,8.341203968
0,29,bwd_pre,1472796335057525,6.959205376,9.508487168,7.47483904
0,29,bwd_post,1472796379150208,7.781996544,11.35607808,9.30228224
0,28,bwd_pre,1472796379412572,7.739971584,11.35607808,9.30228224
0,28,bwd_post,1472796419252064,7.906866176,11.521753088,10.082491392
0,27,bwd_pre,1472796419549420,7.861781504,11.521753088,10.082491392
0,27,bwd_post,1472796466046125,8.028676096,11.687428096,10.204137472
0,26,bwd_pre,1472796466337975,7.983591424,11.687428096,10.204137472
0,26,bwd_post,1472796513489639,8.150486016,11.853103104,10.325947392
0,25,bwd_pre,1472796513776416,8.105401344,11.853103104,10.325947392
0,25,bwd_post,1472796561068905,8.272336896,12.018778112,10.447757312
0,24,bwd_pre,1472796561359183,8.227252224,12.018778112,10.447757312
0,24,bwd_post,1472796608045657,8.394146816,12.18445312,10.569403392
0,23,bwd_pre,1472796608334070,8.348898304,12.18445312,10.569403392
0,23,bwd_post,1472796655920774,8.515792896,12.350128128,10.691213312
0,22,bwd_pre,1472796656219255,8.470708224,12.350128128,10.691213312
0,22,bwd_post,1472796703240907,8.637602816,12.515803136,10.813187072
0,21,bwd_pre,1472796703526863,8.592518144,12.515803136,10.813187072
0,21,bwd_post,1472796750467567,8.759289856,12.681478144,10.934833152
0,20,bwd_pre,1472796750753077,8.714205184,12.681478144,10.934833152
0,20,bwd_post,1472796798042405,8.881017856,12.847153152,11.056520192
0,19,bwd_pre,1472796798319914,8.835933184,12.847153152,11.056520192
0,19,bwd_post,1472796845180352,9.002827776,13.01282816,11.178207232
0,18,bwd_pre,1472796845471156,8.957743104,13.01282816,11.178207232
0,18,bwd_post,1472796893137094,9.124637696,13.178503168,11.299894272
0,17,bwd_pre,1472796893420972,9.079553024,13.178503168,11.299894272
0,17,bwd_post,1472796941113101,9.246365696,13.344178176,11.421704192
0,16,bwd_pre,1472796941394039,9.201281024,13.344178176,11.421704192
0,16,bwd_post,1472796988584592,9.368093696,13.509853184,11.543555072
0,15,bwd_pre,1472796988875779,9.323009024,13.509853184,11.543555072
0,15,bwd_post,1472797036207252,9.489903616,13.675528192,11.665242112
0,14,bwd_pre,1472797036489143,9.444818944,13.675528192,11.665242112
0,14,bwd_post,1472797083466461,9.611713536,13.8412032,11.786929152
0,13,bwd_pre,1472797083744664,9.566628864,13.8412032,11.786929152
0,13,bwd_post,1472797130870605,9.733646336,14.006878208,11.908452352
0,12,bwd_pre,1472797131155148,9.688561664,14.006878208,11.908452352
0,12,bwd_post,1472797178788971,9.855333376,14.172553216,12.030262272
0,11,bwd_pre,1472797179074429,9.810125824,14.172553216,12.030262272
0,11,bwd_post,1472797225849569,9.977020416,14.338228224,12.151908352
0,10,bwd_pre,1472797226135841,9.931935744,14.338228224,12.151908352
0,10,bwd_post,1472797274046005,10.098830336,14.503903232,12.274004992
0,9,bwd_pre,1472797274328098,10.053745664,14.503903232,12.274004992
0,9,bwd_post,1472797323905743,10.220763136,14.66957824,12.395528192
0,8,bwd_pre,1472797324211215,10.175678464,14.66957824,12.395528192
0,8,bwd_post,1472797369765337,10.342491136,14.835253248,12.517297152
0,7,bwd_pre,1472797370063274,10.297283584,14.835253248,12.517297152
0,7,bwd_post,1472797418330724,10.464260096,15.000928256,12.639270912
0,6,bwd_pre,1472797418618756,10.419175424,15.000928256,12.639270912
0,6,bwd_post,1472797465581051,10.586070016,15.166603264,12.760916992
0,5,bwd_pre,1472797465857001,10.540903424,15.166603264,12.760916992
0,5,bwd_post,1472797513294446,10.707798016,15.332278272,12.882522112
0,4,bwd_pre,1472797513583191,10.662713344,15.332278272,12.882522112
0,4,bwd_post,1472797560055889,10.829607936,15.49795328,13.004536832
0,3,bwd_pre,1472797560335657,10.784523264,15.49795328,13.004536832
0,3,bwd_post,1472797607450231,10.951417856,15.663628288,13.126182912
0,2,bwd_pre,1472797607731929,10.906333184,15.663628288,13.126182912
0,2,bwd_post,1472797655078563,11.073227776,15.829303296,13.248115712
0,1,bwd_pre,1472797655366195,11.028143104,15.829303296,13.248115712
0,1,bwd_post,1472797702554767,11.194955776,15.994978304,13.369884672
0,0,bwd_pre,1472797702834523,11.149871104,15.994978304,13.369884672
0,0,bwd_post,1472797749265800,10.956798976,16.160653312,13.369884672
1,0,fwd_pre,1472800023570739,15.582943744,27.332182016,15.878578688
1,0,fwd_post,1472800040310050,15.771914752,29.152509952,17.18980864
1,1,fwd_pre,1472800040634463,15.771914752,29.152509952,17.18980864
1,1,fwd_post,1472800053752945,15.813939712,29.152509952,17.23171072
1,2,fwd_pre,1472800054067201,15.813939712,29.152509952,17.23171072
1,2,fwd_post,1472800067985506,15.855841792,29.152509952,17.2736128
1,3,fwd_pre,1472800068293388,15.855841792,29.152509952,17.2736128
1,3,fwd_post,1472800082415433,15.897743872,29.152509952,17.31551488
1,4,fwd_pre,1472800082714432,15.897743872,29.152509952,17.31551488
1,4,fwd_post,1472800096512158,15.939645952,29.152509952,17.35741696
1,5,fwd_pre,1472800096810848,15.939645952,29.152509952,17.35741696
1,5,fwd_post,1472800110779980,15.981548032,29.152509952,17.39931904
1,6,fwd_pre,1472800111087753,15.981548032,29.152509952,17.39931904
1,6,fwd_post,1472800125064052,16.023450112,29.152509952,17.44122112
1,7,fwd_pre,1472800125358263,16.023450112,29.152509952,17.44122112
1,7,fwd_post,1472800139568417,16.065352192,29.152509952,17.4831232
1,8,fwd_pre,1472800139863264,16.065352192,29.152509952,17.4831232
1,8,fwd_post,1472800153699812,16.107254272,29.152509952,17.52502528
1,9,fwd_pre,1472800154007755,16.107254272,29.152509952,17.52502528
1,9,fwd_post,1472800168023602,16.149156352,29.152509952,17.56692736
1,10,fwd_pre,1472800168322931,16.149156352,29.152509952,17.56692736
1,10,fwd_post,1472800182542331,16.191058432,29.152509952,17.60882944
1,11,fwd_pre,1472800182847520,16.191058432,29.152509952,17.60882944
1,11,fwd_post,1472800197247082,16.232960512,29.152509952,17.65073152
1,12,fwd_pre,1472800197533691,16.232960512,29.152509952,17.65073152
1,12,fwd_post,1472800211505230,16.274862592,29.152509952,17.6926336
1,13,fwd_pre,1472800211800666,16.274862592,29.152509952,17.6926336
1,13,fwd_post,1472800225971448,16.316764672,29.152509952,17.73453568
1,14,fwd_pre,1472800226270083,16.316764672,29.152509952,17.73453568
1,14,fwd_post,1472800240438571,16.358666752,29.152509952,17.77643776
1,15,fwd_pre,1472800240742289,16.358666752,29.152509952,17.77643776
1,15,fwd_post,1472800255087063,16.400568832,29.152509952,17.81833984
1,16,fwd_pre,1472800284676628,16.400568832,29.152509952,16.400568832
1,16,fwd_post,1472800297716130,16.442470912,29.152509952,17.86024192
1,17,fwd_pre,1472800298027932,16.442470912,29.152509952,17.86024192
1,17,fwd_post,1472800312071331,16.484372992,29.152509952,17.902144
1,18,fwd_pre,1472800312366872,16.484372992,29.152509952,17.902144
1,18,fwd_post,1472800326684676,16.526275072,29.152509952,17.94404608
1,19,fwd_pre,1472800326973833,16.526275072,29.152509952,17.94404608
1,19,fwd_post,1472800341074377,16.568177152,29.152509952,17.98594816
1,20,fwd_pre,1472800341359926,16.568177152,29.152509952,17.98594816
1,20,fwd_post,1472800355296219,16.610079232,29.152509952,18.02785024
1,21,fwd_pre,1472800355595920,16.610079232,29.152509952,18.02785024
1,21,fwd_post,1472800369778830,16.651981312,29.152509952,18.06975232
1,22,fwd_pre,1472800370079422,16.651981312,29.152509952,18.06975232
1,22,fwd_post,1472800384106146,16.693883392,29.152509952,18.1116544
1,23,fwd_pre,1472800384408676,16.693883392,29.152509952,18.1116544
1,23,fwd_post,1472800398711557,16.735785472,29.152509952,18.15355648
1,24,fwd_pre,1472800398995747,16.735785472,29.152509952,18.15355648
1,24,fwd_post,1472800412941113,16.777687552,29.152509952,18.19545856
1,25,fwd_pre,1472800413245223,16.777687552,29.152509952,18.19545856
1,25,fwd_post,1472800427378137,16.819589632,29.152509952,18.23736064
1,26,fwd_pre,1472800427676859,16.819589632,29.152509952,18.23736064
1,26,fwd_post,1472800441930326,16.861491712,29.152509952,18.27926272
1,27,fwd_pre,1472800442242965,16.861491712,29.152509952,18.27926272
1,27,fwd_post,1472800456653989,16.903393792,29.152509952,18.3211648
1,28,fwd_pre,1472800456942757,16.903393792,29.152509952,18.3211648
1,28,fwd_post,1472800470846533,16.945295872,29.152509952,18.36306688
1,29,fwd_pre,1472800471148898,16.945295872,29.152509952,18.36306688
1,29,fwd_post,1472800485281232,16.987197952,29.152509952,18.40496896
1,29,bwd_pre,1472800519659914,16.989333504,29.152509952,17.505008128
1,29,bwd_post,1472800538069688,17.811076096,30.006050816,19.331116032
1,28,bwd_pre,1472800538324950,17.769174016,30.006050816,19.331116032
1,28,bwd_post,1472800583736201,17.936068608,30.006050816,20.110956544
1,27,bwd_pre,1472800584030188,17.890983936,30.006050816,20.110956544
1,27,bwd_post,1472800631552419,18.057878528,30.006050816,20.232766464
1,26,bwd_pre,1472800631849507,18.012793856,30.006050816,20.232766464
1,26,bwd_post,1472800679197048,18.179688448,30.006050816,20.354576384
1,25,bwd_pre,1472800679493013,18.134603776,30.006050816,20.354576384
1,25,bwd_post,1472800726460955,18.301498368,30.006050816,20.476386304
1,24,bwd_pre,1472800726740507,18.256413696,30.006050816,20.476386304
1,24,bwd_post,1472800774838907,18.423308288,30.006050816,20.598196224
1,23,bwd_pre,1472800775136135,18.378223616,30.006050816,20.598196224
1,23,bwd_post,1472800823406351,18.545118208,30.006050816,20.720006144
1,22,bwd_pre,1472800823688144,18.500033536,30.006050816,20.720006144
1,22,bwd_post,1472800871380254,18.666928128,30.006050816,20.841816064
1,21,bwd_pre,1472800871676458,18.621843456,30.006050816,20.841816064
1,21,bwd_post,1472800919428317,18.788738048,30.006050816,20.963625984
1,20,bwd_pre,1472800919722956,18.743653376,30.006050816,20.963625984
1,20,bwd_post,1472800966937925,18.910547968,30.006050816,21.085435904
1,19,bwd_pre,1472800967228875,18.865463296,30.006050816,21.085435904
1,19,bwd_post,1472801015525998,19.032357888,30.006050816,21.207245824
1,18,bwd_pre,1472801015809369,18.987273216,30.006050816,21.207245824
1,18,bwd_post,1472801063206405,19.154167808,30.006050816,21.329055744
1,17,bwd_pre,1472801063493573,19.109083136,30.006050816,21.329055744
1,17,bwd_post,1472801110885214,19.275977728,30.006050816,21.450865664
1,16,bwd_pre,1472801111180854,19.230893056,30.006050816,21.450865664
1,16,bwd_post,1472801158445629,19.397787648,30.006050816,21.572675584
1,15,bwd_pre,1472801158736631,19.352702976,30.006050816,21.572675584
1,15,bwd_post,1472801205644438,19.519597568,30.006050816,21.694485504
1,14,bwd_pre,1472801205928853,19.474512896,30.006050816,21.694485504
1,14,bwd_post,1472801253567157,19.641407488,30.006050816,21.816295424
1,13,bwd_pre,1472801253859091,19.596322816,30.006050816,21.816295424
1,13,bwd_post,1472801301636336,19.763217408,30.006050816,21.938105344
1,12,bwd_pre,1472801301917623,19.718132736,30.006050816,21.938105344
1,12,bwd_post,1472801349207175,19.885027328,30.006050816,22.059915264
1,11,bwd_pre,1472801349488770,19.839942656,30.006050816,22.059915264
1,11,bwd_post,1472801397179687,20.006837248,30.006050816,22.181725184
1,10,bwd_pre,1472801397463159,19.961752576,30.006050816,22.181725184
1,10,bwd_post,1472801444525619,20.128647168,30.006050816,22.303535104
1,9,bwd_pre,1472801444815293,20.083562496,30.006050816,22.303535104
1,9,bwd_post,1472801492121873,20.250457088,30.006050816,22.425345024
1,8,bwd_pre,1472801492407319,20.205372416,30.006050816,22.425345024
1,8,bwd_post,1472801540195858,20.372267008,30.006050816,22.547154944
1,7,bwd_pre,1472801540481498,20.327182336,30.006050816,22.547154944
1,7,bwd_post,1472801588088802,20.494076928,30.006050816,22.668964864
1,6,bwd_pre,1472801588373438,20.448992256,30.006050816,22.668964864
1,6,bwd_post,1472801636202683,20.615886848,30.006050816,22.790774784
1,5,bwd_pre,1472801636479081,20.570802176,30.006050816,22.790774784
1,5,bwd_post,1472801684029642,20.737696768,30.006050816,22.912584704
1,4,bwd_pre,1472801684311436,20.692612096,30.006050816,22.912584704
1,4,bwd_post,1472801731410397,20.859506688,30.006050816,23.034394624
