step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10203806290994290,5.518654464,6.006243328,5.813240832
0,0,fwd_post,10203807961500082,5.707707392,8.665432064,7.12560128
0,1,fwd_pre,10203807961905999,5.665805312,8.665432064,7.12560128
0,1,fwd_post,10203808006127720,5.707707392,8.994684928,7.1256832
0,2,fwd_pre,10203808006507755,5.665723392,8.994684928,7.1256832
0,2,fwd_post,10203808045941179,5.707625472,8.994684928,7.1256832
0,3,fwd_pre,10203808046295817,5.665723392,8.994684928,7.1256832
0,3,fwd_post,10203808089465927,5.707625472,8.994684928,7.1256832
0,4,fwd_pre,10203808089815002,5.665723392,8.994684928,7.1256832
0,4,fwd_post,10203808128341168,5.707625472,8.994684928,7.1256832
0,5,fwd_pre,10203808128682173,5.665723392,8.994684928,7.1256832
0,5,fwd_post,10203808167436423,5.707625472,8.994684928,7.1256832
0,6,fwd_pre,10203808167769482,5.665723392,8.994684928,7.1256832
0,6,fwd_post,10203808211142890,5.707625472,8.994684928,7.1256832
0,7,fwd_pre,10203808211483768,5.665723392,8.994684928,7.1256832
0,7,fwd_post,10203808250285023,5.707625472,8.994684928,7.1256832
0,8,fwd_pre,10203808250609260,5.665723392,8.994684928,7.1256832
0,8,fwd_post,10203808289170272,5.707625472,8.994684928,7.1256832
0,9,fwd_pre,10203808289491484,5.665723392,8.994684928,7.1256832
0,9,fwd_post,10203808327890239,5.707625472,8.994684928,7.1256832
0,10,fwd_pre,10203808328330828,5.665723392,8.994684928,7.1256832
0,10,fwd_post,10203808366684757,5.707625472,8.994684928,7.1256832
0,11,fwd_pre,10203808367051851,5.665723392,8.994684928,7.1256832
0,11,fwd_post,10203808405613574,5.707625472,8.994684928,7.1256832
0,12,fwd_pre,10203808405970701,5.665723392,8.994684928,7.1256832
0,12,fwd_post,10203808445073095,5.707625472,8.994684928,7.1256832
0,13,fwd_pre,10203808445410861,5.665723392,8.994684928,7.1256832
0,13,fwd_post,10203808486766161,5.707625472,8.994684928,7.1256832
0,14,fwd_pre,10203808487127266,5.665723392,8.994684928,7.1256832
0,14,fwd_post,10203808525543480,5.707625472,8.994684928,7.1256832
0,15,fwd_pre,10203808525886287,5.665723392,8.994684928,7.1256832
0,15,fwd_post,10203808564258407,5.707625472,8.994684928,7.1256832
0,16,fwd_pre,10203808586696463,5.665723392,8.994684928,5.707625472
0,16,fwd_post,10203808623327929,5.707625472,8.994684928,7.12556032
0,17,fwd_pre,10203808623661864,5.665723392,8.994684928,7.12556032
0,17,fwd_post,10203808662047706,5.707625472,8.994684928,7.12560128
0,18,fwd_pre,10203808662370622,5.665723392,8.994684928,7.12560128
0,18,fwd_post,10203808701587022,5.707625472,8.994684928,7.12560128
0,19,fwd_pre,10203808701911915,5.665723392,8.994684928,7.12560128
0,19,fwd_post,10203808740945482,5.707625472,8.994684928,7.12560128
0,20,fwd_pre,10203808741283462,5.665723392,8.994684928,7.12560128
0,20,fwd_post,10203808779480613,5.707625472,8.994684928,7.12560128
0,21,fwd_pre,10203808779805151,5.665723392,8.994684928,7.12560128
0,21,fwd_post,10203808817930643,5.707625472,8.994684928,7.12560128
0,22,fwd_pre,10203808818264036,5.665723392,8.994684928,7.12560128
0,22,fwd_post,10203808856853967,5.707625472,8.994684928,7.12560128
0,23,fwd_pre,10203808857195506,5.665723392,8.994684928,7.12560128
0,23,fwd_post,10203808894982506,5.707625472,8.994684928,7.12560128
0,24,fwd_pre,10203808895311679,5.665723392,8.994684928,7.12560128
0,24,fwd_post,10203808933209846,5.707625472,8.994684928,7.12560128
0,25,fwd_pre,10203808933577584,5.665723392,8.994684928,7.12560128
0,25,fwd_post,10203808971699522,5.707625472,8.994684928,7.12560128
0,26,fwd_pre,10203808972014191,5.665723392,8.994684928,7.12560128
0,26,fwd_post,10203809010252952,5.707625472,8.994684928,7.12560128
0,27,fwd_pre,10203809010572635,5.665723392,8.994684928,7.12560128
0,27,fwd_post,10203809048396317,5.707625472,8.994684928,7.12560128
0,28,fwd_pre,10203809048722944,5.665723392,8.994684928,7.12560128
0,28,fwd_post,10203809086214579,5.707625472,8.994684928,7.12560128
0,29,fwd_pre,10203809086530385,5.665723392,8.994684928,7.12560128
0,29,fwd_post,10203809124254706,5.707625472,8.994684928,7.12560128
0,29,bwd_pre,10203809176084248,5.698079744,8.994684928,6.214000128
0,29,bwd_post,10203809225707867,6.562772992,10.238296064,8.0739328
0,28,bwd_pre,10203809225982867,6.520870912,10.238296064,8.0739328
0,28,bwd_post,10203809265511993,6.729667584,10.403971072,8.895429632
0,27,bwd_pre,10203809265807511,6.684582912,10.403971072,8.895429632
0,27,bwd_post,10203809313432354,6.893379584,10.56964608,9.059141632
0,26,bwd_pre,10203809313751783,6.848294912,10.56964608,9.059141632
0,26,bwd_post,10203809361666323,7.057091584,10.735321088,9.222853632
0,25,bwd_pre,10203809361956913,7.012006912,10.735321088,9.222853632
0,25,bwd_post,10203809410024514,7.220803584,10.900996096,9.386565632
0,24,bwd_pre,10203809410314722,7.175718912,10.900996096,9.386565632
0,24,bwd_post,10203809458382544,7.384515584,11.066671104,9.550277632
0,23,bwd_pre,10203809458674775,7.339430912,11.066671104,9.550277632
0,23,bwd_post,10203809506290691,7.548227584,11.232346112,9.713989632
0,22,bwd_pre,10203809506586723,7.503142912,11.232346112,9.713989632
0,22,bwd_post,10203809554253879,7.711939584,11.39802112,9.877701632
0,21,bwd_pre,10203809554541928,7.666854912,11.39802112,9.877701632
0,21,bwd_post,10203809602552303,7.875651584,11.563696128,10.041413632
0,20,bwd_pre,10203809602838255,7.830566912,11.563696128,10.041413632
0,20,bwd_post,10203809650586459,8.039363584,11.729371136,10.205125632
0,19,bwd_pre,10203809650870030,7.994278912,11.729371136,10.205125632
0,19,bwd_post,10203809699124423,8.203075584,11.895046144,10.368837632
