step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10203904236088875,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10203905976234529,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10203905976701898,5.662856192,7.8118912,7.12171008
0,1,fwd_post,10203906026460786,5.704758272,8.126464,7.12171008
0,2,fwd_pre,10203906026865752,5.662856192,8.126464,7.12171008
0,2,fwd_post,10203906065789571,5.704758272,8.16840704,7.12171008
0,3,fwd_pre,10203906066192665,5.662856192,8.16840704,7.12171008
0,3,fwd_post,10203906108333010,5.704758272,8.16840704,7.12171008
0,4,fwd_pre,10203906108699656,5.662856192,8.16840704,7.12171008
0,4,fwd_post,10203906147195596,5.704758272,8.16840704,7.12171008
0,5,fwd_pre,10203906147535700,5.662856192,8.16840704,7.12171008
0,5,fwd_post,10203906185811161,5.704758272,8.16840704,7.12171008
0,6,fwd_pre,10203906186152905,5.662856192,8.16840704,7.12171008
0,6,fwd_post,10203906233358537,5.704758272,8.16840704,7.12171008
0,7,fwd_pre,10203906233719688,5.662856192,8.16840704,7.12171008
0,7,fwd_post,10203906272557154,5.704758272,8.16840704,7.12171008
0,8,fwd_pre,10203906272894017,5.662856192,8.16840704,7.12171008
0,8,fwd_post,10203906311074535,5.704758272,8.16840704,7.12171008
0,9,fwd_pre,10203906311403793,5.662856192,8.16840704,7.12171008
0,9,fwd_post,10203906349297169,5.704758272,8.16840704,7.12171008
0,10,fwd_pre,10203906349639214,5.662856192,8.16840704,7.12171008
0,10,fwd_post,10203906387375799,5.704758272,8.16840704,7.12171008
0,11,fwd_pre,10203906387746812,5.662856192,8.16840704,7.12171008
0,11,fwd_post,10203906425691833,5.704758272,8.16840704,7.12171008
0,12,fwd_pre,10203906426047074,5.662856192,8.16840704,7.12171008
0,12,fwd_post,10203906464576527,5.704758272,8.16840704,7.12171008
0,13,fwd_pre,10203906464941516,5.662856192,8.16840704,7.12171008
0,13,fwd_post,10203906502859588,5.704758272,8.16840704,7.12171008
0,14,fwd_pre,10203906503210544,5.662856192,8.16840704,7.12171008
0,14,fwd_post,10203906540834154,5.704758272,8.16840704,7.12171008
0,15,fwd_pre,10203906541178842,5.662856192,8.16840704,7.12171008
0,15,fwd_post,10203906578837940,5.704758272,8.16840704,7.12171008
0,16,fwd_pre,10203906599269103,5.662856192,8.16840704,5.704758272
0,16,fwd_post,10203906635030543,5.704758272,8.16840704,7.12171008
0,17,fwd_pre,10203906635364172,5.662856192,8.16840704,7.12171008
0,17,fwd_post,10203906673302796,5.704758272,8.16840704,7.12171008
0,18,fwd_pre,10203906673631403,5.662856192,8.16840704,7.12171008
0,18,fwd_post,10203906712202647,5.704758272,8.16840704,7.12171008
0,19,fwd_pre,10203906712548460,5.662856192,8.16840704,7.12171008
0,19,fwd_post,10203906750195188,5.704758272,8.16840704,7.12171008
0,20,fwd_pre,10203906750532819,5.662856192,8.16840704,7.12171008
0,20,fwd_post,10203906787891865,5.704758272,8.16840704,7.12171008
0,21,fwd_pre,10203906788224343,5.662856192,8.16840704,7.12171008
0,21,fwd_post,10203906825754409,5.704758272,8.16840704,7.12171008
0,22,fwd_pre,10203906826095936,5.662856192,8.16840704,7.12171008
0,22,fwd_post,10203906863729014,5.704758272,8.16840704,7.12171008
0,23,fwd_pre,10203906864088218,5.662856192,8.16840704,7.12171008
0,23,fwd_post,10203906901561692,5.704758272,8.16840704,7.12171008
0,24,fwd_pre,10203906901882321,5.662856192,8.16840704,7.12171008
0,24,fwd_post,10203906939846103,5.704758272,8.16840704,7.12171008
0,25,fwd_pre,10203906940199736,5.662856192,8.16840704,7.12171008
0,25,fwd_post,10203906976746883,5.704758272,8.16840704,7.12171008
0,26,fwd_pre,10203906977092263,5.662856192,8.16840704,7.12171008
0,26,fwd_post,10203907014926775,5.704758272,8.16840704,7.12171008
0,27,fwd_pre,10203907015259387,5.662856192,8.16840704,7.12171008
0,27,fwd_post,10203907052836169,5.704758272,8.16840704,7.12171008
0,28,fwd_pre,10203907053169961,5.662856192,8.16840704,7.12171008
0,28,fwd_post,10203907091040882,5.704758272,8.16840704,7.12171008
0,29,fwd_pre,10203907091365217,5.662856192,8.16840704,7.12171008
0,29,fwd_post,10203907129078198,5.704758272,8.16840704,7.12171008
0,29,bwd_pre,10203907183118738,5.694426112,8.16840704,6.210018816
0,29,bwd_post,10203907257644636,6.55911936,9.934209024,8.068763648
0,28,bwd_pre,10203907257914390,6.51721728,9.934209024,8.068763648
0,28,bwd_post,10203907285133788,6.726013952,10.101981184,8.89050624
0,27,bwd_pre,10203907285426728,6.68092928,10.101981184,8.89050624
0,27,bwd_post,10203907331487470,6.889725952,10.269753344,9.05421824
0,26,bwd_pre,10203907331782760,6.84464128,10.269753344,9.05421824
0,26,bwd_post,10203907379806253,7.053437952,10.458497024,9.21793024
0,25,bwd_pre,10203907380096546,7.00835328,10.458497024,9.21793024
0,25,bwd_post,10203907427361297,7.217149952,10.626269184,9.38164224
0,24,bwd_pre,10203907427643109,7.17206528,10.626269184,9.38164224
0,24,bwd_post,10203907474685580,7.380861952,10.773069824,9.54535424
0,23,bwd_pre,10203907474971927,7.33577728,10.773069824,9.54535424
0,23,bwd_post,10203907522820511,7.544573952,10.940841984,9.70906624
0,22,bwd_pre,10203907523118286,7.49948928,10.940841984,9.70906624
0,22,bwd_post,10203907570178982,7.708285952,11.108614144,9.87277824
0,21,bwd_pre,10203907570464910,7.66320128,11.108614144,9.87277824
0,21,bwd_post,10203907617801115,7.871997952,11.276386304,10.03649024
0,20,bwd_pre,10203907618095048,7.82691328,11.276386304,10.03649024
0,20,bwd_post,10203907666427498,8.035709952,11.444158464,10.20020224
0,19,bwd_pre,10203907666711806,7.99062528,11.444158464,10.20020224
0,19,bwd_post,10203907713500086,8.199421952,11.590959104,10.36391424
0,18,bwd_pre,10203907713782182,8.15433728,11.590959104,10.36391424
0,18,bwd_post,10203907762153248,8.363133952,11.758731264,10.52762624
0,17,bwd_pre,10203907762442316,8.31804928,11.758731264,10.52762624
0,17,bwd_post,10203907809638311,8.526845952,11.926503424,10.69133824
0,16,bwd_pre,10203907809924590,8.48176128,11.926503424,10.69133824
0,16,bwd_post,10203907857274878,8.690557952,12.094275584,10.85505024
0,15,bwd_pre,10203907857571096,8.64547328,12.094275584,10.85505024
0,15,bwd_post,10203907905063627,8.854269952,12.262047744,11.01876224
0,14,bwd_pre,10203907905354952,8.80918528,12.262047744,11.01876224
0,14,bwd_post,10203907952313339,9.017981952,12.408848384,11.18247424
0,13,bwd_pre,10203907952600316,8.97289728,12.408848384,11.18247424
0,13,bwd_post,10203908000276516,9.181693952,12.576620544,11.34618624
0,12,bwd_pre,10203908000553035,9.13660928,12.576620544,11.34618624
0,12,bwd_post,10203908049042943,9.345405952,12.744392704,11.50989824
0,11,bwd_pre,10203908049331325,9.30032128,12.744392704,11.50989824
0,11,bwd_post,10203908096384651,9.509117952,12.912164864,11.67361024
0,10,bwd_pre,10203908096680170,9.46403328,12.912164864,11.67361024
0,10,bwd_post,10203908144205185,9.672829952,13.079937024,11.83732224
0,9,bwd_pre,10203908144487698,9.62774528,13.079937024,11.83732224
0,9,bwd_post,10203908191063907,9.836541952,13.226737664,12.00103424
0,8,bwd_pre,10203908191357801,9.79145728,13.226737664,12.00103424
0,8,bwd_post,10203908239571588,10.000253952,13.394509824,12.16474624
0,7,bwd_pre,10203908239856877,9.95516928,13.394509824,12.16474624
0,7,bwd_post,10203908287738910,10.163965952,13.562281984,12.32845824
0,6,bwd_pre,10203908288034509,10.11888128,13.562281984,12.32845824
0,6,bwd_post,10203908334867592,10.327677952,13.730054144,12.49217024
0,5,bwd_pre,10203908335158331,10.28259328,13.730054144,12.49217024
0,5,bwd_post,10203908383579331,10.491389952,13.897826304,12.65588224
0,4,bwd_pre,10203908383861319,10.44630528,13.897826304,12.65588224
0,4,bwd_post,10203908430523235,10.655101952,14.044626944,12.81959424
0,3,bwd_pre,10203908430810517,10.61001728,14.044626944,12.81959424
0,3,bwd_post,10203908478770063,10.818813952,14.212399104,12.98330624
0,2,bwd_pre,10203908479067179,10.77372928,14.212399104,12.98330624
0,2,bwd_post,10203908527290243,10.982525952,14.380171264,13.14701824
0,1,bwd_pre,10203908527577408,10.93744128,14.380171264,13.14701824
0,1,bwd_post,10203908574427172,11.146237952,14.547943424,13.31073024
0,0,bwd_pre,10203908574711651,11.10115328,14.547943424,13.31073024
0,0,bwd_post,10203908622760164,10.954591232,14.715715584,13.31073024
1,0,fwd_pre,10203910983316745,15.574127616,26.201817088,15.86959872
1,0,fwd_post,10203910996810652,15.76324352,26.201817088,17.180195328
1,1,fwd_pre,10203910997149325,15.72134144,26.201817088,17.180195328
1,1,fwd_post,10203911011072174,15.76324352,26.201817088,17.180195328
1,2,fwd_pre,10203911011384093,15.72134144,26.201817088,17.180195328
1,2,fwd_post,10203911025358476,15.76324352,26.201817088,17.180195328
1,3,fwd_pre,10203911025674823,15.72134144,26.201817088,17.180195328
1,3,fwd_post,10203911039854287,15.76324352,26.201817088,17.180195328
1,4,fwd_pre,10203911040171521,15.72134144,26.201817088,17.180195328
1,4,fwd_post,10203911053938260,15.76324352,26.201817088,17.180195328
1,5,fwd_pre,10203911054250528,15.72134144,26.201817088,17.180195328
1,5,fwd_post,10203911068378501,15.76324352,26.201817088,17.180195328
1,6,fwd_pre,10203911068704065,15.72134144,26.201817088,17.180195328
1,6,fwd_post,10203911082736580,15.76324352,26.201817088,17.180195328
1,7,fwd_pre,10203911083055506,15.72134144,26.201817088,17.180195328
1,7,fwd_post,10203911097323692,15.76324352,26.201817088,17.180195328
1,8,fwd_pre,10203911097629434,15.72134144,26.201817088,17.180195328
1,8,fwd_post,10203911111497377,15.76324352,26.201817088,17.180195328
1,9,fwd_pre,10203911111813991,15.72134144,26.201817088,17.180195328
1,9,fwd_post,10203911125914575,15.76324352,26.201817088,17.180195328
1,10,fwd_pre,10203911126233209,15.72134144,26.201817088,17.180195328
1,10,fwd_post,10203911140353294,15.76324352,26.201817088,17.180195328
1,11,fwd_pre,10203911140665590,15.72134144,26.201817088,17.180195328
