step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10205423381317498,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10205425008932159,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10205425009454703,5.704758272,7.8118912,7.12171008
0,1,fwd_post,10205425027139523,5.746660352,8.16840704,7.16361216
0,2,fwd_pre,10205425027526783,5.746660352,8.16840704,7.16361216
0,2,fwd_post,10205425042535771,5.788562432,8.21035008,7.20551424
0,3,fwd_pre,10205425042883117,5.788562432,8.21035008,7.20551424
0,3,fwd_post,10205425056976176,5.830464512,8.25229312,7.24741632
0,4,fwd_pre,10205425057303362,5.830464512,8.25229312,7.24741632
0,4,fwd_post,10205425072576053,5.872366592,8.29423616,7.2893184
0,5,fwd_pre,10205425072896713,5.872366592,8.29423616,7.2893184
0,5,fwd_post,10205425087058679,5.914268672,8.3361792,7.33122048
0,6,fwd_pre,10205425087378338,5.914268672,8.3361792,7.33122048
0,6,fwd_post,10205425101466133,5.956170752,8.37812224,7.37312256
0,7,fwd_pre,10205425101795480,5.956170752,8.37812224,7.37312256
0,7,fwd_post,10205425115766283,5.998072832,8.42006528,7.41502464
0,8,fwd_pre,10205425116095365,5.998072832,8.42006528,7.41502464
0,8,fwd_post,10205425130022712,6.039974912,8.46200832,7.45692672
0,9,fwd_pre,10205425130390413,6.039974912,8.46200832,7.45692672
0,9,fwd_post,10205425144381632,6.081876992,8.50395136,7.4988288
0,10,fwd_pre,10205425144702092,6.081876992,8.50395136,7.4988288
0,10,fwd_post,10205425158736418,6.123779072,8.5458944,7.54073088
0,11,fwd_pre,10205425159071811,6.123779072,8.5458944,7.54073088
0,11,fwd_post,10205425173280246,6.165681152,8.58783744,7.58263296
0,12,fwd_pre,10205425173620790,6.165681152,8.58783744,7.58263296
0,12,fwd_post,10205425187803253,6.207583232,8.62978048,7.62453504
0,13,fwd_pre,10205425188125524,6.207583232,8.62978048,7.62453504
0,13,fwd_post,10205425202424059,6.249485312,8.67172352,7.66643712
0,14,fwd_pre,10205425202746021,6.249485312,8.67172352,7.66643712
0,14,fwd_post,10205425216948156,6.291387392,8.71366656,7.7083392
0,15,fwd_pre,10205425217257303,6.291387392,8.71366656,7.7083392
0,15,fwd_post,10205425231442721,6.333289472,8.7556096,7.75024128
0,16,fwd_pre,10205425251310829,6.333289472,8.7556096,6.333289472
0,16,fwd_post,10205425264511590,6.375191552,8.79755264,7.79214336
0,17,fwd_pre,10205425264847798,6.375191552,8.79755264,7.79214336
0,17,fwd_post,10205425278929662,6.417093632,8.83949568,7.83404544
0,18,fwd_pre,10205425279257822,6.417093632,8.83949568,7.83404544
0,18,fwd_post,10205425293312494,6.458995712,8.88143872,7.87594752
0,19,fwd_pre,10205425293625514,6.458995712,8.88143872,7.87594752
0,19,fwd_post,10205425307711328,6.500897792,8.92338176,7.9178496
0,20,fwd_pre,10205425308045881,6.500897792,8.92338176,7.9178496
0,20,fwd_post,10205425322085656,6.542799872,8.9653248,7.95975168
0,21,fwd_pre,10205425322395093,6.542799872,8.9653248,7.95975168
0,21,fwd_post,10205425336799535,6.584701952,9.00726784,8.00165376
0,22,fwd_pre,10205425337118538,6.584701952,9.00726784,8.00165376
0,22,fwd_post,10205425351205493,6.626604032,9.04921088,8.04355584
0,23,fwd_pre,10205425351510368,6.626604032,9.04921088,8.04355584
0,23,fwd_post,10205425365521846,6.668506112,9.09115392,8.08545792
0,24,fwd_pre,10205425365851388,6.668506112,9.09115392,8.08545792
0,24,fwd_post,10205425379960957,6.710408192,9.13309696,8.12736
0,25,fwd_pre,10205425380277368,6.710408192,9.13309696,8.12736
0,25,fwd_post,10205425394458422,6.752310272,9.17504,8.16926208
0,26,fwd_pre,10205425394759793,6.752310272,9.17504,8.16926208
0,26,fwd_post,10205425408960416,6.794212352,9.21698304,8.21116416
0,27,fwd_pre,10205425409277485,6.794212352,9.21698304,8.21116416
0,27,fwd_post,10205425423352148,6.836114432,9.25892608,8.25306624
0,28,fwd_pre,10205425423659207,6.836114432,9.25892608,8.25306624
0,28,fwd_post,10205425437911612,6.878016512,9.30086912,8.29496832
0,29,fwd_pre,10205425438218476,6.878016512,9.30086912,8.29496832
0,29,fwd_post,10205425452375804,6.919918592,9.34281216,8.3368704
0,29,bwd_pre,10205425511299404,6.954671104,9.34281216,7.470263808
0,29,bwd_post,10205425570509223,7.777462272,10.519314432,9.296642048
0,28,bwd_pre,10205425570778614,7.735560192,10.519314432,9.296642048
0,28,bwd_post,10205425615831706,7.902454784,11.253317632,10.07648256
0,27,bwd_pre,10205425616141609,7.857370112,11.253317632,10.07648256
0,27,bwd_post,10205425661975511,8.024264704,11.463032832,10.19829248
0,26,bwd_pre,10205425662290198,7.979180032,11.463032832,10.19829248
0,26,bwd_post,10205425707642570,8.146074624,11.630804992,10.3201024
0,25,bwd_pre,10205425707937715,8.100989952,11.630804992,10.3201024
0,25,bwd_post,10205425755495763,8.267884544,11.798577152,10.44191232
0,24,bwd_pre,10205425755794075,8.222799872,11.798577152,10.44191232
0,24,bwd_post,10205425801730881,8.389694464,11.945377792,10.56372224
0,23,bwd_pre,10205425802020602,8.344609792,11.945377792,10.56372224
0,23,bwd_post,10205425850660424,8.511504384,12.113149952,10.68553216
0,22,bwd_pre,10205425850942957,8.466419712,12.113149952,10.68553216
0,22,bwd_post,10205425898409326,8.633314304,12.280922112,10.80734208
0,21,bwd_pre,10205425898695815,8.588229632,12.280922112,10.80734208
0,21,bwd_post,10205425945760845,8.755124224,12.448694272,10.929152
0,20,bwd_pre,10205425946051971,8.710039552,12.448694272,10.929152
0,20,bwd_post,10205425993214349,8.876934144,12.616466432,11.05096192
0,19,bwd_pre,10205425993497094,8.831849472,12.616466432,11.05096192
0,19,bwd_post,10205426040892873,8.998744064,12.763267072,11.17277184
0,18,bwd_pre,10205426041185175,8.953659392,12.763267072,11.17277184
0,18,bwd_post,10205426088852184,9.120553984,12.931039232,11.29458176
0,17,bwd_pre,10205426089141159,9.075469312,12.931039232,11.29458176
0,17,bwd_post,10205426138295117,9.242363904,13.098811392,11.41639168
0,16,bwd_pre,10205426138801809,9.197279232,13.098811392,11.41639168
0,16,bwd_post,10205426183857879,9.364173824,13.266583552,11.5382016
0,15,bwd_pre,10205426184158843,9.319089152,13.266583552,11.5382016
0,15,bwd_post,10205426232016256,9.485983744,13.434355712,11.66001152
0,14,bwd_pre,10205426232296339,9.440899072,13.434355712,11.66001152
0,14,bwd_post,10205426279679631,9.607793664,13.581156352,11.78182144
0,13,bwd_pre,10205426279960256,9.562708992,13.581156352,11.78182144
0,13,bwd_post,10205426327076790,9.729603584,13.748928512,11.90363136
0,12,bwd_pre,10205426327356764,9.684518912,13.748928512,11.90363136
0,12,bwd_post,10205426375760687,9.851413504,13.916700672,12.02544128
0,11,bwd_pre,10205426376054140,9.806328832,13.916700672,12.02544128
