step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10205518547667598,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10205520171805163,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10205520172311083,5.662856192,7.8118912,7.12171008
0,1,fwd_post,10205520222612070,5.704758272,8.126464,7.12171008
0,2,fwd_pre,10205520223042248,5.662856192,8.126464,7.12171008
0,2,fwd_post,10205520262630604,5.704758272,8.16840704,7.12171008
0,3,fwd_pre,10205520263017487,5.662856192,8.16840704,7.12171008
0,3,fwd_post,10205520310389605,5.704758272,8.16840704,7.12171008
0,4,fwd_pre,10205520310743282,5.662856192,8.16840704,7.12171008
0,4,fwd_post,10205520350225408,5.704758272,8.16840704,7.12171008
0,5,fwd_pre,10205520350576695,5.662856192,8.16840704,7.12171008
0,5,fwd_post,10205520389726279,5.704758272,8.16840704,7.12171008
0,6,fwd_pre,10205520390091374,5.662856192,8.16840704,7.12171008
0,6,fwd_post,10205520437481683,5.704758272,8.16840704,7.12171008
0,7,fwd_pre,10205520437843079,5.662856192,8.16840704,7.12171008
0,7,fwd_post,10205520476769152,5.704758272,8.16840704,7.12171008
0,8,fwd_pre,10205520477121687,5.662856192,8.16840704,7.12171008
0,8,fwd_post,10205520515850734,5.704758272,8.16840704,7.12171008
0,9,fwd_pre,10205520516184479,5.662856192,8.16840704,7.12171008
0,9,fwd_post,10205520554712372,5.704758272,8.16840704,7.12171008
0,10,fwd_pre,10205520555111007,5.662856192,8.16840704,7.12171008
0,10,fwd_post,10205520593715503,5.704758272,8.16840704,7.12171008
0,11,fwd_pre,10205520594090564,5.662856192,8.16840704,7.12171008
0,11,fwd_post,10205520633203300,5.704758272,8.16840704,7.12171008
0,12,fwd_pre,10205520633548606,5.662856192,8.16840704,7.12171008
0,12,fwd_post,10205520672717375,5.704758272,8.16840704,7.12171008
0,13,fwd_pre,10205520673067565,5.662856192,8.16840704,7.12171008
0,13,fwd_post,10205520711277388,5.704758272,8.16840704,7.12171008
0,14,fwd_pre,10205520711616385,5.662856192,8.16840704,7.12171008
0,14,fwd_post,10205520750050901,5.704758272,8.16840704,7.12171008
0,15,fwd_pre,10205520750385402,5.662856192,8.16840704,7.12171008
0,15,fwd_post,10205520789460257,5.704758272,8.16840704,7.12171008
0,16,fwd_pre,10205520809620620,5.662856192,8.16840704,5.704758272
0,16,fwd_post,10205520846084943,5.704758272,8.16840704,7.12171008
0,17,fwd_pre,10205520846415311,5.662856192,8.16840704,7.12171008
0,17,fwd_post,10205520884646600,5.704758272,8.16840704,7.12171008
0,18,fwd_pre,10205520884978870,5.662856192,8.16840704,7.12171008
0,18,fwd_post,10205520924344776,5.704758272,8.16840704,7.12171008
0,19,fwd_pre,10205520924671965,5.662856192,8.16840704,7.12171008
0,19,fwd_post,10205520963090383,5.704758272,8.16840704,7.12171008
0,20,fwd_pre,10205520963418525,5.662856192,8.16840704,7.12171008
0,20,fwd_post,10205521001672993,5.704758272,8.16840704,7.12171008
0,21,fwd_pre,10205521001995256,5.662856192,8.16840704,7.12171008
0,21,fwd_post,10205521040189025,5.704758272,8.16840704,7.12171008
0,22,fwd_pre,10205521040515367,5.662856192,8.16840704,7.12171008
0,22,fwd_post,10205521079865727,5.704758272,8.16840704,7.12171008
0,23,fwd_pre,10205521080211131,5.662856192,8.16840704,7.12171008
0,23,fwd_post,10205521118036881,5.704758272,8.16840704,7.12171008
0,24,fwd_pre,10205521118354964,5.662856192,8.16840704,7.12171008
0,24,fwd_post,10205521156203237,5.704758272,8.16840704,7.12171008
0,25,fwd_pre,10205521156543755,5.662856192,8.16840704,7.12171008
0,25,fwd_post,10205521194595256,5.704758272,8.16840704,7.12171008
0,26,fwd_pre,10205521194903347,5.662856192,8.16840704,7.12171008
0,26,fwd_post,10205521233289730,5.704758272,8.16840704,7.12171008
0,27,fwd_pre,10205521233620221,5.662856192,8.16840704,7.12171008
0,27,fwd_post,10205521271690219,5.704758272,8.16840704,7.12171008
0,28,fwd_pre,10205521272018919,5.662856192,8.16840704,7.12171008
0,28,fwd_post,10205521310337006,5.704758272,8.16840704,7.12171008
0,29,fwd_pre,10205521310646553,5.662856192,8.16840704,7.12171008
0,29,fwd_post,10205521348927548,5.704758272,8.16840704,7.12171008
0,29,bwd_pre,10205521411799124,5.694426112,8.16840704,6.210018816
0,29,bwd_post,10205521482875821,6.55911936,9.911140352,8.068763648
0,28,bwd_pre,10205521483149938,6.51721728,9.911140352,8.068763648
0,28,bwd_post,10205521515886846,6.726013952,10.078912512,8.89050624
0,27,bwd_pre,10205521516191397,6.68092928,10.078912512,8.89050624
0,27,bwd_post,10205521567347640,6.889725952,10.246684672,9.05421824
0,26,bwd_pre,10205521567659077,6.84464128,10.246684672,9.05421824
0,26,bwd_post,10205521614719837,7.053437952,10.414456832,9.21793024
0,25,bwd_pre,10205521615029425,7.00835328,10.414456832,9.21793024
0,25,bwd_post,10205521662915081,7.217149952,10.624172032,9.38164224
0,24,bwd_pre,10205521663213383,7.17206528,10.624172032,9.38164224
0,24,bwd_post,10205521710331558,7.380861952,10.770972672,9.54535424
0,23,bwd_pre,10205521710630935,7.33577728,10.770972672,9.54535424
0,23,bwd_post,10205521757637950,7.544573952,10.938744832,9.70906624
0,22,bwd_pre,10205521757930855,7.49948928,10.938744832,9.70906624
0,22,bwd_post,10205521807451117,7.708285952,11.106516992,9.87277824
0,21,bwd_pre,10205521807745213,7.66320128,11.106516992,9.87277824
0,21,bwd_post,10205521855208511,7.871997952,11.274289152,10.03649024
0,20,bwd_pre,10205521855490500,7.82691328,11.274289152,10.03649024
0,20,bwd_post,10205521902760365,8.035709952,11.442061312,10.20020224
0,19,bwd_pre,10205521903053041,7.99062528,11.442061312,10.20020224
0,19,bwd_post,10205521951287353,8.199421952,11.588861952,10.36391424
0,18,bwd_pre,10205521951579708,8.15433728,11.588861952,10.36391424
0,18,bwd_post,10205521999709972,8.363133952,11.777605632,10.52762624
0,17,bwd_pre,10205521999999269,8.31804928,11.777605632,10.52762624
0,17,bwd_post,10205522078055352,8.526845952,11.945377792,10.69133824
0,16,bwd_pre,10205522078351912,8.48176128,11.945377792,10.69133824
0,16,bwd_post,10205522099516410,8.690557952,12.113149952,10.85505024
0,15,bwd_pre,10205522099816987,8.64547328,12.113149952,10.85505024
0,15,bwd_post,10205522146758963,8.854269952,12.280922112,11.01876224
0,14,bwd_pre,10205522147057029,8.80918528,12.280922112,11.01876224
0,14,bwd_post,10205522194757801,9.017981952,12.427722752,11.18247424
0,13,bwd_pre,10205522195061587,8.97289728,12.427722752,11.18247424
0,13,bwd_post,10205522252091331,9.181693952,12.595494912,11.34618624
0,12,bwd_pre,10205522252372196,9.13660928,12.595494912,11.34618624
0,12,bwd_post,10205522294048063,9.345405952,12.763267072,11.50989824
0,11,bwd_pre,10205522294333667,9.30032128,12.763267072,11.50989824
0,11,bwd_post,10205522343447702,9.509117952,12.931039232,11.67361024
