step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10205608893547770,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10205610563668550,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10205610564121355,5.662856192,7.8118912,7.12171008
0,1,fwd_post,10205610614118058,5.704758272,8.126464,7.12171008
0,2,fwd_pre,10205610614512813,5.662856192,8.126464,7.12171008
0,2,fwd_post,10205610653991920,5.704758272,8.16840704,7.12171008
0,3,fwd_pre,10205610654356242,5.662856192,8.16840704,7.12171008
0,3,fwd_post,10205610696890316,5.704758272,8.16840704,7.12171008
0,4,fwd_pre,10205610697248237,5.662856192,8.16840704,7.12171008
0,4,fwd_post,10205610735831525,5.704758272,8.16840704,7.12171008
0,5,fwd_pre,10205610736185702,5.662856192,8.16840704,7.12171008
0,5,fwd_post,10205610775826927,5.704758272,8.16840704,7.12171008
0,6,fwd_pre,10205610776183604,5.662856192,8.16840704,7.12171008
0,6,fwd_post,10205610823396908,5.704758272,8.16840704,7.12171008
0,7,fwd_pre,10205610823738549,5.662856192,8.16840704,7.12171008
0,7,fwd_post,10205610861810466,5.704758272,8.16840704,7.12171008
0,8,fwd_pre,10205610862152676,5.662856192,8.16840704,7.12171008
0,8,fwd_post,10205610900215645,5.704758272,8.16840704,7.12171008
0,9,fwd_pre,10205610900545595,5.662856192,8.16840704,7.12171008
0,9,fwd_post,10205610940920220,5.704758272,8.16840704,7.12171008
0,10,fwd_pre,10205610941263589,5.662856192,8.16840704,7.12171008
0,10,fwd_post,10205610979252081,5.704758272,8.16840704,7.12171008
0,11,fwd_pre,10205610979623342,5.662856192,8.16840704,7.12171008
0,11,fwd_post,10205611017623941,5.704758272,8.16840704,7.12171008
0,12,fwd_pre,10205611017971295,5.662856192,8.16840704,7.12171008
0,12,fwd_post,10205611056778371,5.704758272,8.16840704,7.12171008
0,13,fwd_pre,10205611057132382,5.662856192,8.16840704,7.12171008
0,13,fwd_post,10205611095532417,5.704758272,8.16840704,7.12171008
0,14,fwd_pre,10205611095880580,5.662856192,8.16840704,7.12171008
0,14,fwd_post,10205611134030598,5.704758272,8.16840704,7.12171008
0,15,fwd_pre,10205611134358170,5.662856192,8.16840704,7.12171008
0,15,fwd_post,10205611172991095,5.704758272,8.16840704,7.12171008
0,16,fwd_pre,10205611193526170,5.662856192,8.16840704,5.704758272
0,16,fwd_post,10205611229394580,5.704758272,8.16840704,7.12171008
0,17,fwd_pre,10205611229729342,5.662856192,8.16840704,7.12171008
0,17,fwd_post,10205611267385007,5.704758272,8.16840704,7.12171008
0,18,fwd_pre,10205611267713285,5.662856192,8.16840704,7.12171008
0,18,fwd_post,10205611306250462,5.704758272,8.16840704,7.12171008
0,19,fwd_pre,10205611306589858,5.662856192,8.16840704,7.12171008
0,19,fwd_post,10205611344300999,5.704758272,8.16840704,7.12171008
0,20,fwd_pre,10205611344648553,5.662856192,8.16840704,7.12171008
0,20,fwd_post,10205611382219973,5.704758272,8.16840704,7.12171008
0,21,fwd_pre,10205611382546032,5.662856192,8.16840704,7.12171008
0,21,fwd_post,10205611420328006,5.704758272,8.16840704,7.12171008
0,22,fwd_pre,10205611420648099,5.662856192,8.16840704,7.12171008
0,22,fwd_post,10205611458828250,5.704758272,8.16840704,7.12171008
0,23,fwd_pre,10205611459152577,5.662856192,8.16840704,7.12171008
0,23,fwd_post,10205611496772079,5.704758272,8.16840704,7.12171008
