step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10206306619319701,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10206308277764264,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10206308278200408,5.704758272,7.8118912,7.12171008
0,1,fwd_post,10206308296746096,5.746660352,8.16840704,7.16361216
0,2,fwd_pre,10206308297109502,5.746660352,8.16840704,7.16361216
0,2,fwd_post,10206308312864937,5.788562432,8.21035008,7.20551424
0,3,fwd_pre,10206308313189502,5.788562432,8.21035008,7.20551424
0,3,fwd_post,10206308327165354,5.830464512,8.25229312,7.24741632
0,4,fwd_pre,10206308327475642,5.830464512,8.25229312,7.24741632
0,4,fwd_post,10206308341446824,5.872366592,8.29423616,7.2893184
0,5,fwd_pre,10206308341754454,5.872366592,8.29423616,7.2893184
0,5,fwd_post,10206308356016585,5.914268672,8.3361792,7.33122048
0,6,fwd_pre,10206308356334085,5.914268672,8.3361792,7.33122048
0,6,fwd_post,10206308370322484,5.956170752,8.37812224,7.37312256
0,7,fwd_pre,10206308370642854,5.956170752,8.37812224,7.37312256
0,7,fwd_post,10206308384677438,5.998072832,8.42006528,7.41502464
0,8,fwd_pre,10206308384977199,5.998072832,8.42006528,7.41502464
0,8,fwd_post,10206308398862605,6.039974912,8.46200832,7.45692672
0,9,fwd_pre,10206308399222034,6.039974912,8.46200832,7.45692672
0,9,fwd_post,10206308413239278,6.081876992,8.50395136,7.4988288
0,10,fwd_pre,10206308413553261,6.081876992,8.50395136,7.4988288
0,10,fwd_post,10206308427695756,6.123779072,8.5458944,7.54073088
0,11,fwd_pre,10206308428016397,6.123779072,8.5458944,7.54073088
0,11,fwd_post,10206308442216442,6.165681152,8.58783744,7.58263296
0,12,fwd_pre,10206308442520981,6.165681152,8.58783744,7.58263296
0,12,fwd_post,10206308456806972,6.207583232,8.62978048,7.62453504
0,13,fwd_pre,10206308457125495,6.207583232,8.62978048,7.62453504
0,13,fwd_post,10206308471390130,6.249485312,8.67172352,7.66643712
0,14,fwd_pre,10206308471708559,6.249485312,8.67172352,7.66643712
0,14,fwd_post,10206308485903362,6.291387392,8.71366656,7.7083392
0,15,fwd_pre,10206308486203963,6.291387392,8.71366656,7.7083392
0,15,fwd_post,10206308500253248,6.333289472,8.7556096,7.75024128
0,16,fwd_pre,10206308519453605,6.333289472,8.7556096,6.333289472
0,16,fwd_post,10206308532460327,6.375191552,8.79755264,7.79214336
0,17,fwd_pre,10206308532789442,6.375191552,8.79755264,7.79214336
0,17,fwd_post,10206308546797497,6.417093632,8.83949568,7.83404544
0,18,fwd_pre,10206308547104547,6.417093632,8.83949568,7.83404544
0,18,fwd_post,10206308561126134,6.458995712,8.88143872,7.87594752
0,19,fwd_pre,10206308561442448,6.458995712,8.88143872,7.87594752
0,19,fwd_post,10206308575439899,6.500897792,8.92338176,7.9178496
0,20,fwd_pre,10206308575770486,6.500897792,8.92338176,7.9178496
0,20,fwd_post,10206308589845367,6.542799872,8.9653248,7.95975168
0,21,fwd_pre,10206308590158887,6.542799872,8.9653248,7.95975168
0,21,fwd_post,10206308604412706,6.584701952,9.00726784,8.00165376
0,22,fwd_pre,10206308604723950,6.584701952,9.00726784,8.00165376
0,22,fwd_post,10206308618916196,6.626604032,9.04921088,8.04355584
0,23,fwd_pre,10206308619215405,6.626604032,9.04921088,8.04355584
0,23,fwd_post,10206308633180004,6.668506112,9.09115392,8.08545792
0,24,fwd_pre,10206308633509738,6.668506112,9.09115392,8.08545792
0,24,fwd_post,10206308647685250,6.710408192,9.13309696,8.12736
0,25,fwd_pre,10206308647998310,6.710408192,9.13309696,8.12736
0,25,fwd_post,10206308662164724,6.752310272,9.17504,8.16926208
0,26,fwd_pre,10206308662465943,6.752310272,9.17504,8.16926208
0,26,fwd_post,10206308676771121,6.794212352,9.21698304,8.21116416
0,27,fwd_pre,10206308677078116,6.794212352,9.21698304,8.21116416
0,27,fwd_post,10206308691239167,6.836114432,9.25892608,8.25306624
0,28,fwd_pre,10206308691542931,6.836114432,9.25892608,8.25306624
0,28,fwd_post,10206308705837950,6.878016512,9.30086912,8.29496832
0,29,fwd_pre,10206308706138824,6.878016512,9.30086912,8.29496832
0,29,fwd_post,10206308720318767,6.919918592,9.34281216,8.3368704
0,29,bwd_pre,10206308777483971,6.954671104,9.34281216,7.470263808
