step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10206401371216499,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10206403070470644,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10206403070921293,5.662856192,7.8118912,7.12171008
0,1,fwd_post,10206403119811887,5.704758272,8.126464,7.12171008
0,2,fwd_pre,10206403120213301,5.662856192,8.126464,7.12171008
0,2,fwd_post,10206403159823798,5.704758272,8.16840704,7.12171008
0,3,fwd_pre,10206403160188928,5.662856192,8.16840704,7.12171008
0,3,fwd_post,10206403202510699,5.704758272,8.16840704,7.12171008
0,4,fwd_pre,10206403202862007,5.662856192,8.16840704,7.12171008
0,4,fwd_post,10206403241562472,5.704758272,8.16840704,7.12171008
0,5,fwd_pre,10206403241906686,5.662856192,8.16840704,7.12171008
0,5,fwd_post,10206403280798048,5.704758272,8.16840704,7.12171008
0,6,fwd_pre,10206403281145383,5.662856192,8.16840704,7.12171008
0,6,fwd_post,10206403326226387,5.704758272,8.16840704,7.12171008
0,7,fwd_pre,10206403326573763,5.662856192,8.16840704,7.12171008
0,7,fwd_post,10206403365560089,5.704758272,8.16840704,7.12171008
0,8,fwd_pre,10206403365899917,5.662856192,8.16840704,7.12171008
0,8,fwd_post,10206403404434173,5.704758272,8.16840704,7.12171008
0,9,fwd_pre,10206403404763926,5.662856192,8.16840704,7.12171008
0,9,fwd_post,10206403443350622,5.704758272,8.16840704,7.12171008
0,10,fwd_pre,10206403443717900,5.662856192,8.16840704,7.12171008
0,10,fwd_post,10206403482304052,5.704758272,8.16840704,7.12171008
0,11,fwd_pre,10206403482670455,5.662856192,8.16840704,7.12171008
0,11,fwd_post,10206403521074780,5.704758272,8.16840704,7.12171008
0,12,fwd_pre,10206403521436505,5.662856192,8.16840704,7.12171008
0,12,fwd_post,10206403560656800,5.704758272,8.16840704,7.12171008
0,13,fwd_pre,10206403561006275,5.662856192,8.16840704,7.12171008
0,13,fwd_post,10206403599258936,5.704758272,8.16840704,7.12171008
0,14,fwd_pre,10206403599602448,5.662856192,8.16840704,7.12171008
0,14,fwd_post,10206403637779603,5.704758272,8.16840704,7.12171008
0,15,fwd_pre,10206403638123905,5.662856192,8.16840704,7.12171008
0,15,fwd_post,10206403676425069,5.704758272,8.16840704,7.12171008
0,16,fwd_pre,10206403696037239,5.662856192,8.16840704,5.704758272
0,16,fwd_post,10206403732140198,5.704758272,8.16840704,7.12171008
0,17,fwd_pre,10206403732481061,5.662856192,8.16840704,7.12171008
0,17,fwd_post,10206403770809190,5.704758272,8.16840704,7.12171008
0,18,fwd_pre,10206403771149295,5.662856192,8.16840704,7.12171008
0,18,fwd_post,10206403810462730,5.704758272,8.16840704,7.12171008
0,19,fwd_pre,10206403810812751,5.662856192,8.16840704,7.12171008
0,19,fwd_post,10206403848672301,5.704758272,8.16840704,7.12171008
0,20,fwd_pre,10206403849013520,5.662856192,8.16840704,7.12171008
0,20,fwd_post,10206403887184316,5.704758272,8.16840704,7.12171008
0,21,fwd_pre,10206403887513554,5.662856192,8.16840704,7.12171008
0,21,fwd_post,10206403929275961,5.704758272,8.16840704,7.12171008
0,22,fwd_pre,10206403929592967,5.662856192,8.16840704,7.12171008
0,22,fwd_post,10206403968943460,5.704758272,8.16840704,7.12171008
0,23,fwd_pre,10206403969290844,5.662856192,8.16840704,7.12171008
0,23,fwd_post,10206404007620726,5.704758272,8.16840704,7.12171008
0,24,fwd_pre,10206404007933925,5.662856192,8.16840704,7.12171008
0,24,fwd_post,10206404046083549,5.704758272,8.16840704,7.12171008
0,25,fwd_pre,10206404046420976,5.662856192,8.16840704,7.12171008
0,25,fwd_post,10206404085157952,5.704758272,8.16840704,7.12171008
0,26,fwd_pre,10206404085474982,5.662856192,8.16840704,7.12171008
0,26,fwd_post,10206404123831962,5.704758272,8.16840704,7.12171008
0,27,fwd_pre,10206404124164059,5.662856192,8.16840704,7.12171008
0,27,fwd_post,10206404161987966,5.704758272,8.16840704,7.12171008
0,28,fwd_pre,10206404162318373,5.662856192,8.16840704,7.12171008
0,28,fwd_post,10206404201215445,5.704758272,8.16840704,7.12171008
0,29,fwd_pre,10206404201528583,5.662856192,8.16840704,7.12171008
0,29,fwd_post,10206404239582946,5.704758272,8.16840704,7.12171008
0,29,bwd_pre,10206404297917053,5.694426112,8.16840704,6.210018816
0,29,bwd_post,10206404358392411,6.55911936,9.911140352,8.068763648
0,28,bwd_pre,10206404358662358,6.51721728,9.911140352,8.068763648
0,28,bwd_post,10206404395301573,6.726013952,10.078912512,8.89050624
0,27,bwd_pre,10206404395651977,6.68092928,10.078912512,8.89050624
0,27,bwd_post,10206404445527471,6.889725952,10.246684672,9.05421824
0,26,bwd_pre,10206404445823029,6.84464128,10.246684672,9.05421824
0,26,bwd_post,10206404492931163,7.053437952,10.414456832,9.21793024
0,25,bwd_pre,10206404493241680,7.00835328,10.414456832,9.21793024
0,25,bwd_post,10206404542273990,7.217149952,10.624172032,9.38164224
0,24,bwd_pre,10206404542552586,7.17206528,10.624172032,9.38164224
0,24,bwd_post,10206404590193069,7.380861952,10.770972672,9.54535424
0,23,bwd_pre,10206404590479880,7.33577728,10.770972672,9.54535424
0,23,bwd_post,10206404638719129,7.544573952,10.938744832,9.70906624
0,22,bwd_pre,10206404639017382,7.49948928,10.938744832,9.70906624
0,22,bwd_post,10206404687918384,7.708285952,11.106516992,9.87277824
0,21,bwd_pre,10206404688212166,7.66320128,11.106516992,9.87277824
0,21,bwd_post,10206404736095449,7.871997952,11.274289152,10.03649024
0,20,bwd_pre,10206404736376414,7.82691328,11.274289152,10.03649024
0,20,bwd_post,10206404785846703,8.035709952,11.442061312,10.20020224
0,19,bwd_pre,10206404786266475,7.99062528,11.442061312,10.20020224
0,19,bwd_post,10206404832187085,8.199421952,11.588861952,10.36391424
0,18,bwd_pre,10206404832469588,8.15433728,11.588861952,10.36391424
0,18,bwd_post,10206404881491929,8.363133952,11.777605632,10.52762624
0,17,bwd_pre,10206404881774138,8.31804928,11.777605632,10.52762624
0,17,bwd_post,10206404929138550,8.526845952,11.945377792,10.69133824
0,16,bwd_pre,10206404929423705,8.48176128,11.945377792,10.69133824
0,16,bwd_post,10206404977538401,8.690557952,12.113149952,10.85505024
0,15,bwd_pre,10206404977836612,8.64547328,12.113149952,10.85505024
0,15,bwd_post,10206405025169970,8.854269952,12.280922112,11.01876224
0,14,bwd_pre,10206405025456130,8.80918528,12.280922112,11.01876224
0,14,bwd_post,10206405073461262,9.017981952,12.427722752,11.18247424
0,13,bwd_pre,10206405073739912,8.97289728,12.427722752,11.18247424
0,13,bwd_post,10206405122119975,9.181693952,12.595494912,11.34618624
0,12,bwd_pre,10206405122396453,9.13660928,12.595494912,11.34618624
0,12,bwd_post,10206405170387850,9.345405952,12.763267072,11.50989824
0,11,bwd_pre,10206405170668067,9.30032128,12.763267072,11.50989824
0,11,bwd_post,10206405218966776,9.509117952,12.931039232,11.67361024
0,10,bwd_pre,10206405219260247,9.46403328,12.931039232,11.67361024
0,10,bwd_post,10206405266953571,9.672829952,13.098811392,11.83732224
0,9,bwd_pre,10206405267248328,9.62774528,13.098811392,11.83732224
0,9,bwd_post,10206405315049231,9.836541952,13.245612032,12.00103424
0,8,bwd_pre,10206405315339325,9.79145728,13.245612032,12.00103424
0,8,bwd_post,10206405363748972,10.000253952,13.413384192,12.16474624
0,7,bwd_pre,10206405364040817,9.95516928,13.413384192,12.16474624
0,7,bwd_post,10206405412503144,10.163965952,13.581156352,12.32845824
0,6,bwd_pre,10206405412788542,10.11888128,13.581156352,12.32845824
0,6,bwd_post,10206405460799648,10.327677952,13.748928512,12.49217024
0,5,bwd_pre,10206405461087630,10.28259328,13.748928512,12.49217024
0,5,bwd_post,10206405509455635,10.491389952,13.916700672,12.65588224
0,4,bwd_pre,10206405509741315,10.44630528,13.916700672,12.65588224
0,4,bwd_post,10206405557329907,10.655101952,14.063501312,12.81959424
0,3,bwd_pre,10206405557611422,10.61001728,14.063501312,12.81959424
0,3,bwd_post,10206405605855602,10.818813952,14.231273472,12.98330624
0,2,bwd_pre,10206405606150084,10.77372928,14.231273472,12.98330624
0,2,bwd_post,10206405653832227,10.982525952,14.399045632,13.14701824
0,1,bwd_pre,10206405654128986,10.93744128,14.399045632,13.14701824
0,1,bwd_post,10206405702038839,11.146237952,14.566817792,13.31073024
0,0,bwd_pre,10206405702319589,11.10115328,14.566817792,13.31073024
0,0,bwd_post,10206405749748564,10.954591232,14.734589952,13.31073024
1,0,fwd_pre,10206408097592751,15.574127616,26.136805376,15.86959872
1,0,fwd_post,10206408117630424,15.76324352,26.136805376,17.180195328
1,1,fwd_pre,10206408117926781,15.72134144,26.136805376,17.180195328
1,1,fwd_post,10206408133489026,15.76324352,26.136805376,17.180195328
1,2,fwd_pre,10206408133792683,15.72134144,26.136805376,17.180195328
1,2,fwd_post,10206408149461393,15.76324352,26.136805376,17.180195328
1,3,fwd_pre,10206408149770716,15.72134144,26.136805376,17.180195328
1,3,fwd_post,10206408165393052,15.76324352,26.136805376,17.180195328
1,4,fwd_pre,10206408165692031,15.72134144,26.136805376,17.180195328
1,4,fwd_post,10206408182937305,15.76324352,26.136805376,17.180195328
1,5,fwd_pre,10206408183552915,15.72134144,26.136805376,17.180195328
1,5,fwd_post,10206408198134241,15.76324352,26.136805376,17.180195328
1,6,fwd_pre,10206408198512727,15.72134144,26.136805376,17.180195328
1,6,fwd_post,10206408214066689,15.76324352,26.136805376,17.180195328
1,7,fwd_pre,10206408214372864,15.72134144,26.136805376,17.180195328
1,7,fwd_post,10206408229893101,15.76324352,26.136805376,17.180195328
1,8,fwd_pre,10206408230199678,15.72134144,26.136805376,17.180195328
1,8,fwd_post,10206408246100745,15.76324352,26.136805376,17.180195328
1,9,fwd_pre,10206408246395553,15.72134144,26.136805376,17.180195328
1,9,fwd_post,10206408261841570,15.76324352,26.136805376,17.180195328
1,10,fwd_pre,10206408262145331,15.72134144,26.136805376,17.180195328
1,10,fwd_post,10206408278173503,15.76324352,26.136805376,17.180195328
1,11,fwd_pre,10206408278466925,15.72134144,26.136805376,17.180195328
1,11,fwd_post,10206408294072977,15.76324352,26.136805376,17.180195328
1,12,fwd_pre,10206408294370442,15.72134144,26.136805376,17.180195328
1,12,fwd_post,10206408310299809,15.76324352,26.136805376,17.180195328
1,13,fwd_pre,10206408310588444,15.72134144,26.136805376,17.180195328
1,13,fwd_post,10206408325990594,15.76324352,26.136805376,17.180195328
1,14,fwd_pre,10206408326294143,15.72134144,26.136805376,17.180195328
1,14,fwd_post,10206408342010263,15.76324352,26.136805376,17.180195328
1,15,fwd_pre,10206408342298912,15.72134144,26.136805376,17.180195328
1,15,fwd_post,10206408358010467,15.76324352,26.136805376,17.180195328
1,16,fwd_pre,10206408388575516,15.72134144,26.136805376,15.76324352
1,16,fwd_post,10206408402284595,15.76324352,26.136805376,17.180195328
1,17,fwd_pre,10206408402581727,15.72134144,26.136805376,17.180195328
1,17,fwd_post,10206408418211105,15.76324352,26.136805376,17.180195328
1,18,fwd_pre,10206408418514706,15.72134144,26.136805376,17.180195328
1,18,fwd_post,10206408434165308,15.76324352,26.136805376,17.180195328
1,19,fwd_pre,10206408434470030,15.72134144,26.136805376,17.180195328
1,19,fwd_post,10206408450284553,15.76324352,26.136805376,17.180195328
1,20,fwd_pre,10206408450582840,15.72134144,26.136805376,17.180195328
1,20,fwd_post,10206408466086174,15.76324352,26.136805376,17.180195328
1,21,fwd_pre,10206408466392894,15.72134144,26.136805376,17.180195328
1,21,fwd_post,10206408482074516,15.76324352,26.136805376,17.180195328
1,22,fwd_pre,10206408482378403,15.72134144,26.136805376,17.180195328
1,22,fwd_post,10206408498566477,15.76324352,26.136805376,17.180195328
1,23,fwd_pre,10206408498870210,15.72134144,26.136805376,17.180195328
1,23,fwd_post,10206408515120548,15.76324352,26.136805376,17.180195328
1,24,fwd_pre,10206408515411533,15.72134144,26.136805376,17.180195328
1,24,fwd_post,10206408531661541,15.76324352,26.136805376,17.180195328
1,25,fwd_pre,10206408531974476,15.72134144,26.136805376,17.180195328
1,25,fwd_post,10206408548027755,15.76324352,26.136805376,17.180195328
1,26,fwd_pre,10206408548324084,15.72134144,26.136805376,17.180195328
1,26,fwd_post,10206408564389079,15.76324352,26.136805376,17.180195328
1,27,fwd_pre,10206408564694165,15.72134144,26.136805376,17.180195328
1,27,fwd_post,10206408582299974,15.76324352,26.136805376,17.180195328
1,28,fwd_pre,10206408582852629,15.72134144,26.136805376,17.180195328
1,28,fwd_post,10206408597673763,15.76324352,26.136805376,17.180195328
1,29,fwd_pre,10206408598025760,15.72134144,26.136805376,17.180195328
1,29,fwd_post,10206408614039237,15.76324352,26.136805376,17.180195328
1,29,bwd_pre,10206408649165331,15.719356416,26.136805376,16.23494912
