step,layer_idx,phase,t_ns,allocated_gb,reserved_gb,max_allocated_gb
0,0,fwd_pre,10206488797358672,5.515642368,5.964300288,5.810064896
0,0,fwd_post,10206490441161535,5.704758272,7.8118912,7.12171008
0,1,fwd_pre,10206490441607668,5.662856192,7.8118912,7.12171008
0,1,fwd_post,10206490489378784,5.704758272,8.126464,7.12171008
0,2,fwd_pre,10206490489802787,5.662856192,8.126464,7.12171008
0,2,fwd_post,10206490529464445,5.704758272,8.16840704,7.12171008
0,3,fwd_pre,10206490529822952,5.662856192,8.16840704,7.12171008
0,3,fwd_post,10206490573225319,5.704758272,8.16840704,7.12171008
0,4,fwd_pre,10206490573591240,5.662856192,8.16840704,7.12171008
0,4,fwd_post,10206490612085483,5.704758272,8.16840704,7.12171008
0,5,fwd_pre,10206490612433011,5.662856192,8.16840704,7.12171008
0,5,fwd_post,10206490650706804,5.704758272,8.16840704,7.12171008
0,6,fwd_pre,10206490651048103,5.662856192,8.16840704,7.12171008
0,6,fwd_post,10206490693584369,5.704758272,8.16840704,7.12171008
0,7,fwd_pre,10206490693952773,5.662856192,8.16840704,7.12171008
0,7,fwd_post,10206490732588405,5.704758272,8.16840704,7.12171008
0,8,fwd_pre,10206490732931382,5.662856192,8.16840704,7.12171008
0,8,fwd_post,10206490771244663,5.704758272,8.16840704,7.12171008
0,9,fwd_pre,10206490771559229,5.662856192,8.16840704,7.12171008
0,9,fwd_post,10206490809626828,5.704758272,8.16840704,7.12171008
0,10,fwd_pre,10206490809956338,5.662856192,8.16840704,7.12171008
0,10,fwd_post,10206490847655552,5.704758272,8.16840704,7.12171008
0,11,fwd_pre,10206490848043282,5.662856192,8.16840704,7.12171008
0,11,fwd_post,10206490885856316,5.704758272,8.16840704,7.12171008
0,12,fwd_pre,10206490886205508,5.662856192,8.16840704,7.12171008
0,12,fwd_post,10206490925767967,5.704758272,8.16840704,7.12171008
0,13,fwd_pre,10206490926109229,5.662856192,8.16840704,7.12171008
0,13,fwd_post,10206490964842276,5.704758272,8.16840704,7.12171008
0,14,fwd_pre,10206490965189824,5.662856192,8.16840704,7.12171008
0,14,fwd_post,10206491002987760,5.704758272,8.16840704,7.12171008
0,15,fwd_pre,10206491003318271,5.662856192,8.16840704,7.12171008
0,15,fwd_post,10206491041295543,5.704758272,8.16840704,7.12171008
0,16,fwd_pre,10206491062043831,5.662856192,8.16840704,5.704758272
0,16,fwd_post,10206491098054061,5.704758272,8.16840704,7.12171008
0,17,fwd_pre,10206491098393697,5.662856192,8.16840704,7.12171008
0,17,fwd_post,10206491136402156,5.704758272,8.16840704,7.12171008
0,18,fwd_pre,10206491136732670,5.662856192,8.16840704,7.12171008
0,18,fwd_post,10206491175438915,5.704758272,8.16840704,7.12171008
0,19,fwd_pre,10206491175781783,5.662856192,8.16840704,7.12171008
0,19,fwd_post,10206491213533524,5.704758272,8.16840704,7.12171008
0,20,fwd_pre,10206491213883241,5.662856192,8.16840704,7.12171008
0,20,fwd_post,10206491251664647,5.704758272,8.16840704,7.12171008
0,21,fwd_pre,10206491251983472,5.662856192,8.16840704,7.12171008
0,21,fwd_post,10206491289542263,5.704758272,8.16840704,7.12171008
0,22,fwd_pre,10206491289873890,5.662856192,8.16840704,7.12171008
0,22,fwd_post,10206491327256555,5.704758272,8.16840704,7.12171008
0,23,fwd_pre,10206491327598719,5.662856192,8.16840704,7.12171008
0,23,fwd_post,10206491364922182,5.704758272,8.16840704,7.12171008
0,24,fwd_pre,10206491365250579,5.662856192,8.16840704,7.12171008
0,24,fwd_post,10206491403208799,5.704758272,8.16840704,7.12171008
0,25,fwd_pre,10206491403532644,5.662856192,8.16840704,7.12171008
0,25,fwd_post,10206491440427996,5.704758272,8.16840704,7.12171008
0,26,fwd_pre,10206491440781374,5.662856192,8.16840704,7.12171008
0,26,fwd_post,10206491478332948,5.704758272,8.16840704,7.12171008
0,27,fwd_pre,10206491478659574,5.662856192,8.16840704,7.12171008
0,27,fwd_post,10206491515856837,5.704758272,8.16840704,7.12171008
0,28,fwd_pre,10206491516188529,5.662856192,8.16840704,7.12171008
0,28,fwd_post,10206491553455641,5.704758272,8.16840704,7.12171008
0,29,fwd_pre,10206491553790240,5.662856192,8.16840704,7.12171008
0,29,fwd_post,10206491591488575,5.704758272,8.16840704,7.12171008
0,29,bwd_pre,10206491648208291,5.784595456,8.275361792,6.210018816
0,29,bwd_post,10206491717853988,6.604204032,9.976152064,8.11384832
0,28,bwd_pre,10206491718260826,6.607386624,9.976152064,8.11384832
0,28,bwd_post,10206491747150361,6.771098624,10.143924224,8.935590912
0,27,bwd_pre,10206491747557630,6.771098624,10.143924224,8.935590912
0,27,bwd_post,10206491794125259,6.934810624,10.311696384,9.099302912
0,26,bwd_pre,10206491794537176,6.934810624,10.311696384,9.099302912
0,26,bwd_post,10206491841968343,7.098522624,10.500440064,9.263014912
0,25,bwd_pre,10206491842379036,7.098522624,10.500440064,9.263014912
0,25,bwd_post,10206491888912508,7.262234624,10.668212224,9.426726912
0,24,bwd_pre,10206491889315524,7.262234624,10.668212224,9.426726912
0,24,bwd_post,10206491936961141,7.425946624,10.815012864,9.590438912
0,23,bwd_pre,10206491937364964,7.425946624,10.815012864,9.590438912
0,23,bwd_post,10206491984294741,7.589658624,10.982785024,9.754150912
0,22,bwd_pre,10206491984699288,7.589658624,10.982785024,9.754150912
0,22,bwd_post,10206492030387957,7.753370624,11.150557184,9.917862912
0,21,bwd_pre,10206492030779068,7.753370624,11.150557184,9.917862912
0,21,bwd_post,10206492080883692,7.917082624,11.318329344,10.081574912
0,20,bwd_pre,10206492081290859,7.917082624,11.318329344,10.081574912
0,20,bwd_post,10206492128469170,8.080794624,11.486101504,10.245286912
0,19,bwd_pre,10206492128856652,8.080794624,11.486101504,10.245286912
0,19,bwd_post,10206492176376224,8.244506624,11.632902144,10.408998912
0,18,bwd_pre,10206492176775448,8.244506624,11.632902144,10.408998912
0,18,bwd_post,10206492223756023,8.408218624,11.800674304,10.572710912
0,17,bwd_pre,10206492224160255,8.408218624,11.800674304,10.572710912
0,17,bwd_post,10206492272113068,8.571930624,11.968446464,10.736422912
0,16,bwd_pre,10206492272521459,8.571930624,11.968446464,10.736422912
0,16,bwd_post,10206492319455987,8.735642624,12.136218624,10.900134912
0,15,bwd_pre,10206492319860576,8.735642624,12.136218624,10.900134912
0,15,bwd_post,10206492367400797,8.899354624,12.303990784,11.063846912
0,14,bwd_pre,10206492367795403,8.899354624,12.303990784,11.063846912
0,14,bwd_post,10206492415664748,9.063066624,12.450791424,11.227558912
0,13,bwd_pre,10206492416065629,9.063066624,12.450791424,11.227558912
0,13,bwd_post,10206492463294051,9.226778624,12.618563584,11.391270912
0,12,bwd_pre,10206492463683228,9.226778624,12.618563584,11.391270912
0,12,bwd_post,10206492510908089,9.390490624,12.786335744,11.554982912
0,11,bwd_pre,10206492511303209,9.390490624,12.786335744,11.554982912
0,11,bwd_post,10206492558682002,9.554202624,12.954107904,11.718694912
0,10,bwd_pre,10206492559088603,9.554202624,12.954107904,11.718694912
0,10,bwd_post,10206492606255786,9.717914624,13.121880064,11.882406912
0,9,bwd_pre,10206492606651029,9.717914624,13.121880064,11.882406912
0,9,bwd_post,10206492654083848,9.881626624,13.268680704,12.046118912
0,8,bwd_pre,10206492654487884,9.881626624,13.268680704,12.046118912
0,8,bwd_post,10206492702265093,10.045338624,13.436452864,12.209830912
0,7,bwd_pre,10206492702660632,10.045338624,13.436452864,12.209830912
0,7,bwd_post,10206492749859628,10.209050624,13.604225024,12.373542912
0,6,bwd_pre,10206492750270214,10.209050624,13.604225024,12.373542912
0,6,bwd_post,10206492797733907,10.372762624,13.771997184,12.537254912
0,5,bwd_pre,10206492798129811,10.372762624,13.771997184,12.537254912
0,5,bwd_post,10206492844873330,10.536474624,13.939769344,12.700966912
0,4,bwd_pre,10206492845267125,10.536474624,13.939769344,12.700966912
0,4,bwd_post,10206492892725725,10.700186624,14.086569984,12.864678912
0,3,bwd_pre,10206492893124468,10.700186624,14.086569984,12.864678912
0,3,bwd_post,10206492941257737,10.863898624,14.254342144,13.028390912
0,2,bwd_pre,10206492941655820,10.863898624,14.254342144,13.028390912
0,2,bwd_post,10206492988435462,11.027610624,14.422114304,13.192102912
0,1,bwd_pre,10206492988845224,11.027610624,14.422114304,13.192102912
0,1,bwd_post,10206493036329631,11.191322624,14.589886464,13.355814912
0,0,bwd_pre,10206493036620889,11.146237952,14.589886464,13.355814912
0,0,bwd_post,10206493083355489,10.954591232,14.757658624,13.355814912
1,0,fwd_pre,10206495448238781,15.574127616,26.243760128,15.86959872
1,0,fwd_post,10206495469332472,15.76324352,26.243760128,17.180195328
1,1,fwd_pre,10206495469642390,15.72134144,26.243760128,17.180195328
1,1,fwd_post,10206495483456385,15.76324352,26.243760128,17.180195328
1,2,fwd_pre,10206495483779650,15.72134144,26.243760128,17.180195328
1,2,fwd_post,10206495497782747,15.76324352,26.243760128,17.180195328
1,3,fwd_pre,10206495498110316,15.72134144,26.243760128,17.180195328
1,3,fwd_post,10206495512035533,15.76324352,26.243760128,17.180195328
1,4,fwd_pre,10206495512343707,15.72134144,26.243760128,17.180195328
1,4,fwd_post,10206495526550493,15.76324352,26.243760128,17.180195328
1,5,fwd_pre,10206495526856258,15.72134144,26.243760128,17.180195328
1,5,fwd_post,10206495540625026,15.76324352,26.243760128,17.180195328
1,6,fwd_pre,10206495540933606,15.72134144,26.243760128,17.180195328
1,6,fwd_post,10206495555084362,15.76324352,26.243760128,17.180195328
1,7,fwd_pre,10206495555392525,15.72134144,26.243760128,17.180195328
1,7,fwd_post,10206495569401701,15.76324352,26.243760128,17.180195328
1,8,fwd_pre,10206495569705686,15.72134144,26.243760128,17.180195328
1,8,fwd_post,10206495583987013,15.76324352,26.243760128,17.180195328
1,9,fwd_pre,10206495584291436,15.72134144,26.243760128,17.180195328
1,9,fwd_post,10206495598188156,15.76324352,26.243760128,17.180195328
